semana,app_id,canal,installs,compradores_unicos,total_compras,revenue_usd,arpi,ticket_promedio
2026-05-18,id1531467766,product_vix,3864,69,69,78.5828893,0.02033718667,1.138882454
2026-05-18,id1531467766,Apple Search Ads,28035,93,93,68.80456286,0.002454238019,0.7398340093
2026-05-18,id1531467766,googleadwords_int,89,52,52,52.14620211,0.5859123833,1.002811579
2026-05-18,id1531467766,Digital_Web_LCDLF,0,11,11,29.80588064,,2.71
2026-05-18,id1531467766,world_cup_sports_page,1,0,0,,,
2026-05-18,com.univision.prendetv,winclap,6042,9,9,,,
2026-05-18,com.univision.prendetv,QR_code,55,0,0,,,
2026-05-18,id1531467766,Treble,0,0,0,,,
2026-05-18,com.univision.prendetv,product_vix,8472,81,81,,,
2026-05-18,id1531467766,Social_Televisa,0,0,0,,,
2026-05-18,com.univision.prendetv,Treble,3,0,0,,,
2026-05-18,com.univision.prendetv,rocket,710,96,96,,,
2026-05-18,com.univision.prendetv,miqdigitaluk,7,0,0,,,
2026-05-18,id1531467766,Social_tiktok,19,0,0,,,
2026-05-18,id1531467766,Digital_Web_Univision,0,0,0,,,
2026-05-18,com.univision.prendetv,Facebook_Paid,13,0,0,,,
2026-05-18,id1531467766,dv360_int,0,1,1,,,
2026-05-18,com.univision.prendetv,crm_vix_avod_eml,0,0,0,,,
2026-05-18,com.univision.prendetv,dv360_int,0,10,10,,,
2026-05-18,com.univision.prendetv,crm_vix_engagment_vixmusica,0,0,0,,,
2026-05-18,com.univision.prendetv,,0,0,0,,,
2026-05-18,com.univision.prendetv,Digital_Promo,0,0,0,,,
2026-05-18,com.univision.prendetv,Social_facebook,42,0,0,,,
2026-05-18,id1531467766,Product_vix,0,0,0,,,
2026-05-18,id1531467766,Social_Facebook_longform,10,0,0,,,
2026-05-18,com.univision.prendetv,oppopaipreinstall_int,737,0,0,,,
2026-05-18,id1531467766,miqdigitaluk,0,0,0,,,
2026-05-18,com.univision.prendetv,Social_Facebook_comment,1,0,0,,,
2026-05-18,com.univision.prendetv,Digital_Web_LCDLF,0,0,0,,,
2026-05-18,id1531467766,Social_Univision,0,0,0,,,
2026-05-18,com.univision.prendetv,Digital,153,0,0,,,
2026-05-18,com.univision.prendetv,Social_tiktok,77,0,0,,,
2026-05-18,id1531467766,crm_vix_avod_eml,0,0,0,,,
2026-05-18,com.univision.prendetv,lychee,266591,453,454,,,
2026-05-18,com.univision.prendetv,Social_instagram,28,0,0,,,
2026-05-18,com.univision.prendetv,Social_Facebook_longform,111,0,0,,,
2026-05-18,id1531467766,TikTok_Paid,35,0,0,,,
2026-05-18,com.univision.prendetv,xiaomipai_int,307,0,0,,,
2026-05-18,com.univision.prendetv,Product_vix,0,0,0,,,
2026-05-18,id1531467766,QR_code,33,0,0,,,
2026-05-18,com.univision.prendetv,Twitter_Paid,45,0,0,,,
2026-05-18,com.univision.prendetv,QR_code_Arelys,0,0,0,,,
2026-05-18,id1531467766,Social_ViX,0,0,0,,,
2026-05-18,id1531467766,Social_facebook,6,0,0,,,
2026-05-18,id1531467766,crm_vix_svod_eml,0,0,0,,,
2026-05-18,com.univision.prendetv,Digital_Web_Univision,0,0,0,,,
2026-05-18,com.univision.prendetv,Web_article,0,0,0,,,
2026-05-18,id1531467766,Twitter_Paid,2,0,0,,,
2026-05-18,id1531467766,Digital,146,1,1,,,
2026-05-18,id1531467766,Web_article,0,0,0,,,
2026-05-18,com.univision.prendetv,Social_YouTube_longform,14,0,0,,,
2026-05-18,com.univision.prendetv,bcnagency,2789,1,1,,,
2026-05-18,id1531467766,Social_instagram,18,0,0,,,
2026-05-18,com.univision.prendetv,appgradear424,64877,149,149,,,
2026-05-18,id1531467766,Social_YouTube_longform,0,0,0,,,
2026-05-18,id1531467766,Digital_Promo,0,0,0,,,
2026-05-18,id1531467766,clips-landing-def,0,0,0,,,
2026-05-18,com.univision.prendetv,TikTok_Paid,11,0,0,,,
2026-05-18,id1531467766,,0,0,0,,,
2026-05-18,id1531467766,Facebook_Paid,0,0,0,,,
2026-05-18,id1531467766,influencers,0,1,1,,,
2026-05-18,com.univision.prendetv,googleadwords_int,122271,220,220,,,
2026-05-18,id1531467766,QR_code_Arelys,0,0,0,,,
2026-05-18,com.univision.prendetv,influencers,3,0,0,,,
2026-05-18,com.univision.prendetv,world_cup_sports_page,3,1,1,,,
2026-05-18,com.univision.prendetv,tiktokglobal_int,19894,90,90,,,
2026-05-18,com.univision.prendetv,crm_vix_svod_eml,0,0,0,,,
2026-05-18,com.univision.prendetv,organic,228571,196,196,,,
2026-05-18,com.univision.prendetv,Social_Facebook_image,1,0,0,,,
2026-05-18,com.univision.prendetv,entravision,1125,3,3,,,
2026-05-25,id1531467766,lychee,145316,1207,1207,1571.349623,0.01081332835,1.301863814
2026-05-25,id1531467766,appgradear424,60685,497,497,1388.49186,0.02288031408,2.793746197
2026-05-25,id1531467766,organic,54703,413,413,1048.696316,0.01917072767,2.539216261
2026-05-25,id1531467766,entravision,5588,80,81,312.5016967,0.05592371094,3.858045639
2026-05-25,id1531467766,rocket,3497,71,71,300.1824632,0.08583999519,4.227922017
2026-05-25,id1531467766,tiktokglobal_int,502,65,65,177.9344115,0.354451019,2.737452485
2026-05-25,id1531467766,googleadwords_int,109,82,82,144.7541992,1.328020176,1.765295112
2026-05-25,id1531467766,bcnagency,1331,40,40,136.8941397,0.1028505933,3.422353493
2026-05-25,id1531467766,product_vix,5092,108,108,106.1823133,0.02085277166,0.9831695675
2026-05-25,id1531467766,Apple Search Ads,27914,146,146,90.59916255,0.003245653168,0.6205422092
2026-05-25,id1531467766,Digital_Web_LCDLF,0,11,11,86.44060464,,7.858236785
2026-05-25,com.univision.prendetv,miqdigitaluk,23,0,0,,,
2026-05-25,com.univision.prendetv,Social_Facebook_image,0,0,0,,,
2026-05-25,com.univision.prendetv,winclap,1745,8,8,,,
2026-05-25,id1531467766,crm_vix_avod_eml,0,0,0,,,
2026-05-25,id1531467766,influencers,1,0,0,,,
2026-05-25,id1531467766,Social_Facebook_longform,8,0,0,,,
2026-05-25,id1531467766,Twitter_Paid,4,0,0,,,
2026-05-25,com.univision.prendetv,influencers,5,0,0,,,
2026-05-25,id1531467766,Social_tiktok,27,0,0,,,
2026-05-25,com.univision.prendetv,dv360_int,0,12,12,,,
2026-05-25,id1531467766,Web_article,0,0,0,,,
2026-05-25,id1531467766,crm_vix_svod_eml,1,0,0,,,
2026-05-25,id1531467766,Digital,199,0,0,,,
2026-05-25,com.univision.prendetv,Social_facebook,32,0,0,,,
2026-05-25,com.univision.prendetv,Digital_Web_Univision,0,0,0,,,
2026-05-25,com.univision.prendetv,rocket,1223,123,123,,,
2026-05-25,com.univision.prendetv,Facebook_Paid,13,0,0,,,
2026-05-25,com.univision.prendetv,crm_vix_svod_eml,2,1,1,,,
2026-05-25,id1531467766,QR_code_Arelys,0,0,0,,,
2026-05-25,com.univision.prendetv,organic,196807,246,247,,,
2026-05-25,id1531467766,TikTok_Paid,57,0,0,,,
2026-05-25,com.univision.prendetv,Social_Facebook_comment,0,0,0,,,
2026-05-25,id1531467766,dv360_int,0,0,0,,,
2026-05-25,id1531467766,Social_Televisa,0,0,0,,,
2026-05-25,com.univision.prendetv,bcnagency,748,4,4,,,
2026-05-25,com.univision.prendetv,googleadwords_int,111601,329,329,,,
2026-05-25,id1531467766,Product_vix,0,0,0,,,
2026-05-25,com.univision.prendetv,Twitter_Paid,56,0,0,,,
2026-05-25,com.univision.prendetv,Digital,139,0,0,,,
2026-05-25,id1531467766,Social_YouTube_longform,0,0,0,,,
2026-05-25,id1531467766,Social_facebook,1,0,0,,,
2026-05-25,id1531467766,QR_code,20,0,0,,,
2026-05-25,com.univision.prendetv,world_cup_sports_page,2,0,0,,,
2026-05-25,id1531467766,Social_Facebook_comment,0,0,0,,,
2026-05-25,com.univision.prendetv,Social_YouTube_longform,9,0,0,,,
